4FGL J0008.4+6926,  2.1072, 69.4409,   5.589,3.0854E-10,3.6891E-12,PowerLaw,  2.2787,  2.2422,  0.0939, , 
4FGL J0008.4-2339,  2.1110,-23.6514,  10.347,1.6445E-10,2.3355E-12,PowerLaw,  1.6561,  1.3491,  0.2782,bll,RBS 0016
4FGL J0008.4+1455,  2.1246, 14.9232,  12.042,3.4328E-10,3.8184E-12,PowerLaw,  2.0912,  1.9389,  0.1601,bcu,NVSS J000825+145635
4FGL J0008.9+2509,  2.2358, 25.1536,   4.677,1.0375E-10,2.6568E-12,PowerLaw,  2.8734,  2.7576,  0.1909, , 
4FGL J0009.1-5012,  2.2962,-50.2107,   9.410,1.9955E-10,3.3511E-12,PowerLaw,  2.6022,  2.6138, -0.0164, , 
4FGL J0009.1+0628,  2.2973,  6.4828,  15.144,4.7700E-10,5.3103E-12,PowerLaw,  2.0991,  2.0631,  0.0460,bll,TXS 0006+061
4FGL J0009.2+6847,  2.3045, 68.7932,   9.308,6.8548E-10,6.6736E-12,LogParabola,  2.6083,  2.7511,  0.5260, , 
4FGL J0009.2+1745,  2.3077, 17.7544,   5.609,1.5813E-10,2.3177E-12,PowerLaw,  2.4960,  2.1752,  0.3592, , 
4FGL J0009.3+5030,  2.3466, 50.5115,  57.927,2.6325E-09,2.4633E-11,LogParabola,  1.9939,  1.8977,  0.0623,bll,NVSS J000922+503028
4FGL J0009.7-1418,  2.4403,-14.3045,   9.344,2.2475E-10,3.1816E-12,PowerLaw,  2.4658,  2.4355,  0.1176, , 
4FGL J0009.7-3217,  2.4443,-32.2976,   7.189,1.5855E-10,1.7809E-12,PowerLaw,  2.1454,  2.0902,  0.1285,rdg,IC 1531
4FGL J0009.8-4317,  2.4533,-43.2979,  10.615,2.0692E-10,2.2985E-12,PowerLaw,  2.0652,  2.0468,  0.0222,bll,SUMSS J000949-431654
4FGL J0009.8+1340,  2.4653, 13.6712,   4.387,1.1839E-10,1.3377E-12,PowerLaw,  2.1653,  1.9495,  0.2189,bcu,RX J0009.9+1341
4FGL J0010.2-2431,  2.5602,-24.5245,   4.830,1.0337E-10,1.1493E-12,PowerLaw,  2.0860,  1.9001,  0.1656, , 
4FGL J0010.6+2043,  2.6502, 20.7332,   5.650,1.7261E-10,2.1227E-12,PowerLaw,  2.3179,  2.2494,  0.0839,fsrq,TXS 0007+205
4FGL J0010.6-3025,  2.6675,-30.4258,  15.550,3.4924E-10,4.8908E-12,PowerLaw,  2.4560,  2.3926,  0.1061,fsrq,PKS 0008-307
4FGL J0010.8-2154,  2.7174,-21.9004,   5.374,1.1858E-10,1.5342E-12,PowerLaw,  2.3779,  2.4289, -0.0528,bcu,PKS 0008-222
4FGL J0011.4-4110,  2.8502,-41.1742,   4.097,8.8139E-11,1.4372E-12,PowerLaw,  2.5805,  2.5198,  0.1583,bcu,PMN J0011-4105
4FGL J0011.4+0057,  2.8551,  0.9646,  14.145,4.2882E-10,5.3420E-12,PowerLaw,  2.3342,  2.2858,  0.0473,fsrq,RX J0011.5+0058
4FGL J0011.8-3142,  2.9547,-31.7154,   6.029,1.2288E-10,1.3821E-12,PowerLaw,  1.9735,  1.9187,  0.0678,bcu,SUMSS J001141-314220
4FGL J0012.0+7043,  3.0032, 70.7326,   7.697,3.7565E-10,5.0084E-12,PowerLaw,  2.4092,  2.4050,  0.0130,bcu,TXS 0008+704
4FGL J0013.1-3955,  3.2802,-39.9272,  18.348,4.1848E-10,4.6749E-12,PowerLaw,  2.0023,  1.9179,  0.1152,bll,PKS 0010-401
4FGL J0013.4+0950,  3.3544,  9.8370,   5.699,1.6828E-10,1.8935E-12,PowerLaw,  2.1516,  2.2509, -0.0672,bcu,1RXS J001328.4+094942
4FGL J0013.6+4051,  3.4014, 40.8563,   6.544,1.6369E-10,1.8673E-12,PowerLaw,  2.1912,  2.2282, -0.0512,agn,4C +40.01
4FGL J0013.6-0424,  3.4208, -4.4017,   4.987,1.6474E-10,2.0101E-12,PowerLaw,  2.3076,  2.2944, -0.0694,fsrq,PKS 0011-046
4FGL J0013.9-1854,  3.4804,-18.9118,  13.320,2.9764E-10,3.3280E-12,PowerLaw,  1.9976,  1.9552,  0.0373,bll,RBS 0030
4FGL J0014.1+1910,  3.5368, 19.1713,   8.115,2.2512E-10,2.6873E-12,PowerLaw,  2.2762,  2.1284,  0.1974,bll,MG3 J001356+1910
4FGL J0014.1-5022,  3.5479,-50.3703,  11.469,2.5778E-10,2.8734E-12,PowerLaw,  2.0150,  1.9676,  0.0336,bll,RBS 0032
4FGL J0014.2+0854,  3.5695,  8.9114,   4.353,1.6506E-10,2.3547E-12,PowerLaw,  2.4726,  2.5029, -0.0366,bll,MS 0011.7+0837
4FGL J0014.3-0500,  3.5864, -5.0120,  11.922,4.0080E-10,5.1465E-12,PowerLaw,  2.3696,  2.3549,  0.0360,bcu,GALEXASC J001420.46-045929.1
4FGL J0014.7+5801,  3.6867, 58.0272,   9.670,2.2216E-10,2.9466E-12,PowerLaw,  1.7210,  1.5530,  0.1761,bll,1RXS J001442.2+580201
4FGL J0014.8+6118,  3.7212, 61.3037,  15.637,7.9069E-10,8.7847E-12,PowerLaw,  2.0499,  1.9010,  0.1400,bcu,4C +60.01
4FGL J0014.9+3212,  3.7268, 32.2162,  14.628,3.5090E-10,5.9565E-12,PowerLaw,  2.6100,  2.5612,  0.1404,bcu,3C 6
4FGL J0015.2+3537,  3.8247, 35.6172,   5.727,1.0262E-10,1.1735E-12,PowerLaw,  1.9269,  1.9560, -0.0408,bll,RX J0015.4+3536
4FGL J0015.6+5551,  3.9071, 55.8636,  12.751,3.6397E-10,4.2697E-12,PowerLaw,  1.8762,  1.8815, -0.0041,bll,GB6 J0015+5551
4FGL J0015.9+2440,  3.9917, 24.6805,   9.827,2.4848E-10,2.9132E-12,PowerLaw,  2.2468,  2.3193, -0.0691,bcu,GB6 J0016+2440
4FGL J0016.2-0016,  4.0610, -0.2806,  20.854,4.1684E-10,8.9711E-12,LogParabola,  2.7407,  2.6137,  0.1848,fsrq,S3 0013-00
4FGL J0016.5+1702,  4.1396, 17.0389,   5.346,1.5104E-10,2.5352E-12,PowerLaw,  2.6018,  2.3125,  0.2973,fsrq,GB6 J0015+1700
4FGL J0017.0-0649,  4.2635, -6.8317,  13.639,3.8784E-10,4.6999E-12,PowerLaw,  2.2981,  2.2780,  0.0311,bcu,PMN J0017-0650
4FGL J0017.1-4605,  4.2973,-46.0848,   6.484,9.9518E-11,2.1980E-12,PowerLaw,  2.7845,  2.7709,  0.0197, , 
4FGL J0017.5-0514,  4.3949, -5.2347,  23.469,7.5820E-10,1.1199E-11,LogParabola,  2.5630,  2.5942,  0.1051,FSRQ,PMN J0017-0512
4FGL J0017.8+1455,  4.4711, 14.9228,   8.069,2.3595E-10,2.6936E-12,PowerLaw,  2.1930,  2.0309,  0.1964,bll,GB6 J0017+1450
4FGL J0018.4+2946,  4.6151, 29.7792,  13.572,2.6334E-10,3.5730E-12,PowerLaw,  1.6985,  1.5638,  0.1050,bll,RBS 0042
4FGL J0019.2-5640,  4.8106,-56.6826,  13.454,2.9021E-10,3.3301E-12,PowerLaw,  2.2048,  2.1717,  0.0394,bcu,PMN J0019-5641
4FGL J0019.3-8152,  4.8327,-81.8798,  19.485,6.1294E-10,6.8366E-12,PowerLaw,  2.1124,  2.0755,  0.0411,bll,PMN J0019-8152
4FGL J0019.6+7327,  4.9031, 73.4560,  21.730,1.1091E-09,1.9206E-11,PowerLaw,  2.6243,  2.6071,  0.0742,fsrq,S5 0016+73
4FGL J0019.6+2022,  4.9070, 20.3755,  11.733,3.1732E-10,3.5850E-12,PowerLaw,  2.1648,  2.1133,  0.1186,bll,PKS 0017+200
4FGL J0020.3+6919,  5.0918, 69.3322,   4.249,2.5408E-10,4.0050E-12,PowerLaw,  2.5547,  2.4743,  0.1899,bcu,TXS 0016+691
4FGL J0021.0+0322,  5.2565,  3.3783,   6.745,1.5054E-10,1.7752E-12,PowerLaw,  1.8675,  1.6949,  0.1445,bcu,2MASS J00205023+0323578
4FGL J0021.5-2552,  5.3912,-25.8681,  24.498,6.5439E-10,7.3105E-12,PowerLaw,  2.1214,  2.0816,  0.0459,bll,CRATES J002132.55-255049.3
4FGL J0021.6-0855,  5.4115, -8.9174,   5.828,1.6308E-10,1.9404E-12,PowerLaw,  2.2712,  2.0334,  0.2511,bll,NVSS J002142-090044
4FGL J0021.9-5140,  5.4985,-51.6728,  24.845,5.9852E-10,6.6484E-12,PowerLaw,  2.0653,  2.0533,  0.0096,bll,1RXS J002159.2-514028
4FGL J0022.0+0006,  5.5154,  0.1134,   7.442,1.0413E-10,1.7180E-12,PowerLaw,  1.5331,  1.5771, -0.0595,bll,RX J0022.0+0006
4FGL J0022.0-5921,  5.5215,-59.3500,   9.540,2.3472E-10,3.2496E-12,PowerLaw,  2.4455,  2.4402,  0.0323, , 
4FGL J0022.1-1854,  5.5353,-18.9068,  27.493,8.5713E-10,7.4474E-12,LogParabola,  1.9422,  1.7679,  0.1052,bll,1RXS J002209.2-185333
4FGL J0022.5+0608,  5.6376,  6.1343,  48.803,2.0824E-09,2.0269E-11,LogParabola,  2.1490,  2.0705,  0.0514,bll,PKS 0019+058
4FGL J0023.4+0920,  5.8513,  9.3475,  25.474,1.2196E-09,7.5529E-12,PLSuperExpCutoff,  2.2666,  1.8856,  0.4628,PSR,PSR J0023+0923
4FGL J0023.6-4209,  5.9073,-42.1579,   5.113,1.1095E-10,1.2326E-12,PowerLaw,  2.0517,  2.0697, -0.0294, , 
4FGL J0023.7-6820,  5.9347,-68.3381,  14.777,2.3470E-10,5.3762E-12,PowerLaw,  2.8069,  2.7652,  0.0825,bcu,PKS 0021-686
4FGL J0023.7+4457,  5.9477, 44.9510,  19.001,5.4700E-10,7.5002E-12,PowerLaw,  2.4365,  2.3853,  0.0723,fsrq,B3 0020+446
4FGL J0023.9+1603,  5.9819, 16.0639,   9.086,2.5733E-10,2.8584E-12,PowerLaw,  2.0652,  1.9383,  0.1287,bll,87GB 002122.5+154553
4FGL J0024.0-7204,  6.0082,-72.0788,  89.273,4.4598E-09,2.6654E-11,LogParabola,  2.0958,  1.7434,  0.3582,glc,NGC 104
4FGL J0024.1+2402,  6.0384, 24.0366,   8.750,2.1031E-10,2.3590E-12,PowerLaw,  2.1400,  2.1429, -0.0042, , 
4FGL J0024.4+4647,  6.1212, 46.7970,   4.293,1.2209E-10,1.8903E-12,PowerLaw,  2.5407,  2.5684, -0.0529,bcu,B3 0021+464
